행 레이블,합계 : count
2015091200,1240200
2015091201,737562
2015091202,265581
2015091203,96740
2015091204,43548
2015091205,32390
2015091206,68945
2015091207,168033
2015091208,325573
2015091209,555213
2015091210,794882
2015091211,921094
2015091212,887543
2015091213,1038241
2015091214,1184938
2015091215,1186849
2015091216,1073408
2015091217,702287
2015091218,355501
2015091219,315272
2015091220,417180
2015091221,453958
2015091222,480883
2015091223,427267
2015091300,270804
2015091301,155041
2015091302,71951
2015091303,34761
2015091304,20678
2015091305,15075
2015091306,15715
2015091307,29601
2015091308,63618
2015091309,133213
2015091310,220593
2015091311,293869
2015091312,331904
2015091313,376481
2015091314,418172
2015091315,436907
2015091316,488614
2015091317,402529
2015091318,367181
2015091319,472517
2015091320,658825
2015091321,752545
2015091322,810052
2015091323,762765
2015091400,528636
2015091401,319245
2015091402,151698
2015091403,79404
2015091404,45540
2015091405,36084
2015091406,64835
2015091407,120946
2015091408,280531
2015091409,495666
2015091410,561131
2015091411,720826
2015091412,458399
2015091413,603853
2015091414,658072
2015091415,705888
2015091416,923601
2015091417,686959
2015091418,574429
2015091419,788569
2015091420,821670
2015091421,869803
2015091422,1127089
2015091423,1403545
(비어 있음),
총합계,34402918
